pair_id,rule,a,brand_a,b,brand_b,kind,note,raw,model1,model2,similarity
P0073,需单独判断,"ISRIB, Integrated stress response inhibitor (TBI1539) - 5 MG",TribioScience,"STF-083010, IRE1 inhibitor; UPR inhibitor (TBI1510) - 5 MG",TribioScience,none,,不可替代,none,substitute,0.86
P0236,需单独判断,Human SPP1 (Osteopontin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Spp1 (Osteopontin) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.954
P0326,需单独判断,"Screw cap tube,  10 ml,  79 x 16 mm, PP, with print, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,exact,,相同,substitute,exact,0.977
P0342,需单独判断,Human WNT5A (Protein Wnt-5A) - Recombinant Protein - 100ug,Astor Scientific,Human WNT6 (Protein Wnt-6) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.909
P0356,需单独判断,Human Integrin beta 1 - Recombinant Protein - 100ug,Astor Scientific,Recombinant Human Integrin alpha 2 beta 1 (ITGA2&ITGB1) Heterodimer Protein - 100UG,Astor Scientific,none,,不可替代,none,substitute,0.928
P0358,需单独判断,"amfiSure qGreen 1-Step RT-qPCR Master Mix, No Rox - 10X50 rxns",GenDEPOT,"amfiSure qGreen 1-Step RT-qPCR Master Mix, High Rox - 4x50 rxns",GenDEPOT,none,,不可替代,none,substitute,0.929
P0412,需单独判断,"Gelatin Solution, 0.1%, Cell Culture Tested - 1L",GenDEPOT,"Laminin I, Mouse, 1mg/ml - 1ml",GenDEPOT,none,,不可替代,none,substitute,0.713
P0429,需单独判断,"Tribo™ 2x TaqMan qPCR Super Mix (ROX) - ROX, 2 x 10 ML",TribioScience,One-Step TaqProbe qRT-PCR Kit - ROX,TribioScience,none,,不可替代,substitute,none,0.883
P0457,需单独判断,Human SEMA4D (Semaphorin-4D) - Recombinant Protein - 100ug,Astor Scientific,Mouse Sema4d (Semaphorin-4D) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.941
P0467,需单独判断,Human THPO (Thrombopoietin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Thpo (Thrombopoietin) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.946
