pair_id,是否需单独判断,所属规则,产品A,品牌A,产品B,品牌B,模型一判定,模型一理由,模型二判定,模型二理由,向量相似度,您的判定（相同/可替代/不可替代/拿不准）,备注
P0073,是,需单独判断,"ISRIB, Integrated stress response inhibitor (TBI1539) - 5 MG",TribioScience,"STF-083010, IRE1 inhibitor; UPR inhibitor (TBI1510) - 5 MG",TribioScience,不可替代,Different mechanism inhibitors (ISR vs IRE1/UPR),可替代,Both suppress ISR/UPR signaling but via different mechanisms (eIF2B modulator vs IRE1 RNase inhibitor),0.860,,
P0236,是,需单独判断,Human SPP1 (Osteopontin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Spp1 (Osteopontin) - Recombinant Protein - 100ug,Astor Scientific,可替代,"Same protein (Osteopontin) but different species (human vs mouse), acceptable substitute for some cross-species studies",不可替代,"Same protein but different species (human vs mouse), changes experiment.",0.954,,
P0326,是,需单独判断,"Screw cap tube,  10 ml,  79 x 16 mm, PP, with print, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,可替代,"Same tube specs, differ only by printed labeling",相同,Same tube spec; only printed labelling differs,0.977,,
P0342,是,需单独判断,Human WNT5A (Protein Wnt-5A) - Recombinant Protein - 100ug,Astor Scientific,Human WNT6 (Protein Wnt-6) - Recombinant Protein - 100ug,Astor Scientific,可替代,Both WNT family recombinant proteins but distinct ligands (WNT5A vs WNT6) with different signaling roles,不可替代,Different WNT family members with distinct signaling activities,0.909,,
P0356,是,需单独判断,Human Integrin beta 1 - Recombinant Protein - 100ug,Astor Scientific,Recombinant Human Integrin alpha 2 beta 1 (ITGA2&ITGB1) Heterodimer Protein - 100UG,Astor Scientific,不可替代,"Single subunit protein vs heterodimer complex, different specifications",可替代,"Beta1 subunit alone vs alpha2beta1 heterodimer; related but different composition, may serve similar binding studies",0.928,,
P0358,是,需单独判断,"amfiSure qGreen 1-Step RT-qPCR Master Mix, No Rox - 10X50 rxns",GenDEPOT,"amfiSure qGreen 1-Step RT-qPCR Master Mix, High Rox - 4x50 rxns",GenDEPOT,不可替代,"Different ROX dye levels (No Rox vs High Rox) affect qPCR instrument compatibility, plus different pack sizes",可替代,Same master mix chemistry but No ROX vs High ROX reference dye—instrument-dependent choice,0.929,,
P0412,是,需单独判断,"Gelatin Solution, 0.1%, Cell Culture Tested - 1L",GenDEPOT,"Laminin I, Mouse, 1mg/ml - 1ml",GenDEPOT,不可替代,"Gelatin coating solution vs laminin protein, different substances/functions",可替代,Different coating substrates but both used for cell attachment coating,0.713,,
P0429,是,需单独判断,"Tribo™ 2x TaqMan qPCR Super Mix (ROX) - ROX, 2 x 10 ML",TribioScience,One-Step TaqProbe qRT-PCR Kit - ROX,TribioScience,可替代,Both are PCR/qPCR reagent kits with ROX reference dye but differ in application (qPCR supermix vs one-step RT-qPCR kit),不可替代,DNA qPCR master mix vs one-step RT-qPCR kit (includes reverse transcription),0.883,,
P0457,是,需单独判断,Human SEMA4D (Semaphorin-4D) - Recombinant Protein - 100ug,Astor Scientific,Mouse Sema4d (Semaphorin-4D) - Recombinant Protein - 100ug,Astor Scientific,可替代,Same protein (SEMA4D) but different species (human vs mouse),不可替代,Human vs mouse SEMA4D — species difference affects results,0.941,,
P0467,是,需单独判断,Human THPO (Thrombopoietin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Thpo (Thrombopoietin) - Recombinant Protein - 100ug,Astor Scientific,可替代,"Same protein (Thrombopoietin) but different species (human vs mouse), may serve similar research purpose in some contexts",不可替代,Different species ortholog (human vs mouse THPO),0.946,,
P0468,是,需单独判断,Viral particle DNA Magnetic Extraction (TBS6035) - 50 Tests,TribioScience,Microbial DNA Magnetic Extraction Kit - 200 Tests,TribioScience,不可替代,Different extraction targets (viral vs microbial DNA) and different test counts/kit chemistry,可替代,"Both magnetic-bead DNA extraction kits but optimized for different sample types (viral particles vs microbial cells, which need cell-wall lysis); pack size also differs",0.887,,
P0469,是,需单独判断,Viral particle DNA Magnetic Extraction (TBS6035) - 50 Tests,TribioScience,Expin Gel SV (DNA isolation) - 50 Samples,TribioScience,可替代,Both DNA extraction kits from same brand but different technology (magnetic bead vs gel-based) for similar purpose,不可替代,Magnetic bead viral DNA extraction vs agarose gel DNA purification - different workflows,0.877,,
