role,plain_description,lab_usually_owns_it,always_buy_fresh,notes
primary_antibody,一抗 —— 直接识别目标蛋白,no,no,"通常按目标现买"
secondary_antibody,二抗 —— 检测一抗、带酶标,no,no,
loading_control,上样对照抗体（管家蛋白）,no,no,"is_control=yes"
positive_control,阳性对照样本 —— 已知表达目标,no,no,"is_control=yes"
membrane,转膜膜（PVDF/硝酸纤维素）,no,no,
blocking_agent,封闭剂（奶粉/BSA）,sometimes,no,"奶粉常有；BSA不一定"
protein_ladder,蛋白分子量marker,sometimes,no,
detection_substrate,显影底物（ECL）,no,yes,"有效期短，通常现买"
buffer_running,电泳缓冲液,yes,no,"实验室常备 —— 采购时通常过滤掉"
buffer_transfer,转膜缓冲液,yes,no,"实验室常备 —— 通常过滤掉"
water,去离子水/超纯水,yes,no,"实验室常备 —— 一定过滤掉"
pipette_tips,枪头,yes,no,"实验室常备 —— 一定过滤掉"
gloves,手套,yes,no,"实验室常备 —— 一定过滤掉"
no_template_control,无模板对照（NTC，用水代替模板）/ no-template control,yes,no,"is_control=yes; drafted 2026-09-15 for troubleshooting; needs review"
no_rt_control,无逆转录酶对照（-RT）/ minus-RT control,yes,no,"is_control=yes; procedural, uses the same RNA; drafted 2026-09-15 for troubleshooting; needs review"
reference_gene,内参基因引物（GAPDH / ACTB / 18S）/ reference-gene primer set,no,no,"is_control=yes; drafted 2026-09-15 for troubleshooting; needs review"
primers,目标基因引物 / 探针 / target primers or probe,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
detection_chemistry,qPCR 检测化学（SYBR Green / TaqMan 预混液）/ qPCR master mix,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
rt_enzyme,逆转录酶 / 逆转录试剂盒 / reverse transcriptase or RT kit,no,yes,"drafted 2026-09-15 for troubleshooting; needs review"
qpcr_master_mix,qPCR 预混液 / qPCR master mix,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
rna_extraction_kit,RNA 提取试剂盒 / RNA extraction kit,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
dnase,DNase I（去除基因组DNA）/ DNase I,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
standard_curve,标准品（用于标准曲线）/ ELISA standard,no,no,"is_control=yes; usually in the kit; drafted 2026-09-15 for troubleshooting; needs review"
blank_zero_standard,空白 / 零标准（只有稀释液）/ blank well,sometimes,no,"is_control=yes; drafted 2026-09-15 for troubleshooting; needs review"
negative_control,阴性对照样本 / negative control matrix,sometimes,no,"is_control=yes; drafted 2026-09-15 for troubleshooting; needs review"
capture_detection_pair,捕获 / 检测抗体配对 / matched antibody pair,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
sample_diluent,样本 / 标准品稀释液 / assay diluent,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
tmb_substrate,TMB 显色底物 / TMB substrate,no,yes,"drafted 2026-09-15 for troubleshooting; needs review"
stop_solution,终止液 / stop solution,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
wash_buffer,洗涤缓冲液（PBST）/ wash buffer,yes,no,"drafted 2026-09-15 for troubleshooting; needs review"
elisa_plate,ELISA 板（预包被或高结合板）/ ELISA plate,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
transfection_reagent,转染试剂 / transfection reagent,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
plasmid_dna,质粒 DNA（无内毒素制备）/ plasmid DNA prep,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
culture_medium,细胞培养基 / culture medium,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
serum,血清（FBS）/ fetal bovine serum,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
antibiotic,抗生素（青链霉素）/ antibiotic supplement,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
cell_line,细胞系（低代次冻存）/ low-passage cell stock,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
trypsin,胰酶 / trypsin-EDTA,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
culture_plate,细胞培养板（TC处理）/ tissue-culture treated plate,sometimes,no,"drafted 2026-09-15 for troubleshooting; needs review"
mycoplasma_test,支原体检测试剂盒 / mycoplasma detection kit,no,no,"drafted 2026-09-15 for troubleshooting; needs review"
